,Unnamed: 0,Rank_x,Age Rank,Results,Target,Age_x,First,Last,City_x,Loc,Finishes,Place,City_y,Unnamed: 4,Age_y,Gender,GP,Time,Rank_y,Unnamed: 10,Unnamed: 0.1,Unnamed: 5,Target_Seconds,Time_Seconds
44,44,54.90%,85.30%,14,8:14:22,M<20,Jakob,Dueck,Mesa,AZ,,51,Mesa,AZ,17,M,39,8:31:56,54.93,,,,29662,30716
45,45,54.50%,50.40%,6,8:18:22,M30-39,Mark,Potter,Palmer lake,CO,,28,Palmer Lake,CO,32,M,23,7:17:53,55.94,,,,29902,26273
46,46,54.40%,66.20%,3,8:18:27,M50-59,John,Zueck,Santa Cruz,CA,,55,Santa Cruz,CA,54,M,42,8:54:10,54.13,,,,29907,32050
47,47,54.20%,67.60%,3,8:20:23,M50-59,Grant,Magdovitz,Rancho Mirage,CA,,59,Rancho Mirage,CA,58,M,45,9:42:55,52.85,,,,30023,34975
48,48,54.00%,54.00%,2,8:22:48,M40-49,Jonathan,Tippetts,Mckinney,TX,,37,McKinney,TX,40,M,29,7:41:42,56.49,,,,30168,27702
49,49,62.10%,71.80%,8,8:32:41,F30-39,Sarah,McNamara,Boulder,CO,,57,Boulder,CO,34,F,14,8:58:45,63.14,,,,30761,32325
50,50,51.90%,58.60%,23,8:43:21,M40-49,Shane,Massey,Chandler,AZ,,62,Chandler,AZ,48,M,48,10:04:14,51.65,,,,31401,36254
51,51,55.30%,75.90%,7,9:36:10,F50-59,Gretchen,Lowery,Fountain Hills,AZ,,63,Fountain Hills,AZ,52,F,15,10:15:47,56.18,,,,34570,36947
52,0,82.60%,86.10%,5,10:47:39,M40-49,Anthony,Reimer,Wetaskiwin,AB,,3,Wetaskiwin,AB,43,M,3,9:57:09,83.28,,,,38859,35829
53,1,82.60%,,1,10:48:02,M20-29,Levi,Rajnowski,Los Angeles,CA,,17,Los Angeles,CA,25,M,13,12:03:14,77.02,,,,38882,43394
54,2,80.40%,91.40%,68,11:05:57,M60-69,Todd,Holmes,Prescott,AZ,,11,Prescott,AZ,65,M,10,11:02:55,80.31,,,,39957,39775
55,3,79.20%,87.70%,61,11:15:37,M50-59,Jamie,Reichler,Parker,CO,2.0,2,Parker,CO,53,M,2,9:47:58,79.34,,,,40537,35278
56,4,79.20%,,2,11:15:47,M20-29,Frederick,Farmer,Montréal,QC,,1,Montrã©Al,QC,29,M,1,8:36:54,86.12,,,,40547,31014
57,5,78.50%,92.00%,15,11:21:17,M20-29,Kent,Deardorff,Saint Paul,MN,,16,Saint Paul,MN,27,M,12,11:58:34,78.12,,,,40877,43114
58,6,75.10%,79.70%,1,11:52:13,M20-29,Joe,Corcione,Phoenix,AZ,,4,Phoenix,AZ,27,M,4,10:23:33,79.02,,,,42733,37413
59,7,88.30%,89.50%,15,11:57:25,F30-39,Margaret,Macdonald,Minneapolis,MN,,14,Minneapolis,MN,39,F,3,11:26:48,88.45,,,,43045,41208
60,8,74.60%,73.50%,6,11:57:45,M30-39,Michael,Medeiros,west hartford,CT,,7,West Hartford,CT,36,M,6,10:51:15,75.36,,,,43065,39075
61,9,71.80%,73.60%,45,12:24:50,M30-39,Gary,Foreman,Phoenix,AZ,,6,Phoenix,AZ,35,M,5,10:44:11,72.02,,,,44690,38651
62,10,71.60%,83.40%,179,12:27:07,M50-59,Geoffrey,Foote,Chandler,AZ,2.0,24,Chandler,AZ,53,M,19,13:20:32,71.56,,,,44827,48032
63,11,83.20%,91.30%,5,12:40:47,F30-39,Ashley,Durstine,Surprise,AZ,1.0,5,Surprise,AZ,39,F,1,10:26:47,86.03,,,,45647,37607
64,12,70.20%,72.20%,4,12:42:07,M30-39,Mike,Joyce,Sarasota,FL,,18,Sarasota,FL,35,M,14,12:09:18,70.34,,,,45727,43758
65,13,66.60%,92.40%,14,13:24:02,M<20,Christopher,Iammarino,Surprise,AZ,,9,Surprise,AZ,19,M,8,10:56:29,67.36,,,,48242,39389
66,14,66.10%,84.20%,3,13:29:45,M20-29,Niko,Teller,Norristown,PA,,12,Norristown,PA,25,M,11,11:09:26,68.86,,,,48585,40166
67,15,78.00%,80.70%,9,13:32:06,F30-39,Tali,Toncray,Phoenix,AZ,,13,Phoenix,AZ,34,F,2,11:19:57,79.39,,,,48726,40797
68,16,65.10%,75.00%,10,13:41:26,M40-49,Michael,Fuentes,Phoenix,AZ,,27,Phoenix,AZ,43,M,21,13:49:58,64.88,,,,49286,49798
69,17,63.90%,,1,13:57:39,M40-49,Robert,Vodicka,Scottsdale,AZ,,8,Scottsdale,AZ,40,M,7,10:54:29,71.43,,,,50259,39269
70,18,75.00%,78.70%,38,14:03:49,F40-49,Krista,Wilhelmson,Duluth,MN,1.0,23,Duluth,MN,41,F,5,13:20:24,75.13,,,,50629,48024
71,19,62.50%,70.60%,6,14:16:08,M30-39,Adam,Ator,Naperville,IL,,10,Naperville,IL,33,M,9,10:59:43,64.76,,,,51368,39583
72,20,73.50%,73.50%,2,14:21:09,F20-29,Rebekkah,Barrett,Pomona,CA,,25,Pomona,CA,28,F,6,13:22:13,75.06,,,,51669,48133
73,21,73.20%,90.40%,15,14:24:33,F50-59,Becki,Iammarino,Surprise,AZ,,15,Surprise,AZ,51,F,4,11:42:18,74.24,,,,51873,42138
74,22,59.90%,62.50%,29,14:53:00,M40-49,Ryan,Ingham,Yuma,AZ,,19,Yuma,AZ,41,M,15,12:13:58,60.27,,,,53580,44038
75,23,67.40%,66.80%,7,15:39:19,F40-49,Sigrun,Glantz,Cave Creek,AZ,,29,Cave Creek,AZ,45,F,7,13:54:21,68.37,,,,56359,50061
76,24,50.70%,44.20%,3,17:36:26,M30-39,Corey,Haygood,Scottsdale,AZ,,22,Scottsdale,AZ,39,M,18,12:51:38,54.73,,,,63386,46298
77,25,48.40%,57.30%,7,18:25:33,M40-49,Florin,Nichitean,Surprise,AZ,,30,Surprise,AZ,44,M,23,14:15:37,49.9,,,,66333,51337
78,0,91.00%,88.50%,13,38:43:11,M20-29,David,Sullivan,Cumming,GA,,1,Cumming,GA,29,M,1,33:20:52,91.64,,,,52991,33652
79,1,76.70%,78.50%,33,45:55:15,M30-39,Daniel,Flory,Eastview,KY,,3,Eastview,KY,37,M,2,40:51:51,76.89,,,,78915,60711
80,2,73.20%,76.50%,15,48:08:31,M30-39,Jim,Winn,Leitchfield,KY,,5,Leitchfield,KY,39,M,3,49:50:00,72.8,,,,511,6600
81,3,68.90%,85.60%,13,51:06:35,M50-59,Alberto,Vargas,Jupiter,FL,,7,Jupiter,FL,55,M,5,56:06:00,68.26,,,,11195,29160
82,4,91.80%,92.90%,34,54:43:15,F30-39,Ariela,Flory,Eastview,KY,,2,Eastview,KY,36,F,1,40:51:51,92.05,,,,24195,60711
83,5,62.90%,70.30%,18,56:01:03,M30-39,Tim,Wills,Miami Shores,FL,,6,Miami Shores,FL,38,M,4,50:20:00,65.8,,,,28863,8400
84,6,55.10%,69.30%,101,63:56:09,M50-59,Dipak,Bhattacharyya,Fairfax,VA,,10,Fairfax,VA,58,M,6,57:29:00,55.14,,,,57369,34140
85,7,54.80%,64.90%,19,64:16:26,M40-49,Mark,Budden,Cullowhee,NC,1.0,11,Cullowhee,NC,45,M,7,57:48:00,54.96,,,,58586,35280
86,8,75.30%,77.70%,66,66:42:41,F40-49,Wendy,Murray,Southern Shores,NC,,8,Southern Shores,NC,48,F,3,56:06:00,75.26,,,,67361,29160
87,9,68.70%,76.40%,10,73:09:47,F40-49,Carrie,O'Bryan,Claremore,OK,,4,Claremore,OK,43,F,2,45:20:00,70.61,,,,4187,76800
88,10,66.50%,71.00%,85,75:35:46,F40-49,Meghan,Curley,Annapolis,MD,,9,Annapolis,MD,40,F,4,57:09:00,66.51,,,,12946,32940
89,0,97.00%,,1,1:50:55,F50-59,Kelley,Duell,Windermere,FL,,3,Windermere,FL,50,F,1,1:51:07,98.51,,,,6655,6667
90,1,89.40%,100.00%,6,2:00:23,F30-39,Sandra,Houseweart,sarasota,FL,,13,Sarasota,FL,31,F,4,2:18:56,88.05,,,,7223,8336
91,2,77.10%,87.30%,33,2:05:10,M50-59,Jon,Docs,Tampa,FL,1.0,9,Tampa,FL,58,M,8,2:13:21,77.11,,,,7510,8001
92,3,75.90%,,1,2:07:09,M30-39,Tyler,Pettey,Port St. Lucie,FL,,8,Port St. Lucie,FL,32,M,7,2:08:12,78.22,,,,7629,7692
93,4,84.50%,100.00%,2,2:07:25,F40-49,Kristy,Shaeer,Tampa,FL,,32,Tampa,FL,42,F,19,3:12:13,75.57,,,,7645,11533
94,5,78.30%,100.00%,4,2:17:30,F50-59,Cecily,Carr,Saint Petersburg,FL,,15,Saint Petersburg,FL,56,F,6,2:24:57,77.95,,,,8250,8697
95,6,78.30%,75.30%,3,2:17:31,F40-49,Lauren,Starr,Loxahatchee,FL,,17,Loxahatchee,FL,41,F,8,2:33:22,76.81,,,,8251,9202
96,7,66.00%,75.00%,3,2:26:20,M30-39,Blake,White,St. Petersburg,FL,,31,St. Petersburg,FL,32,M,13,3:08:37,63.15,,,,8780,11317
97,8,72.30%,,2,2:28:53,F40-49,Erin,Duffey-Dupree,Wellington,FL,,12,Wellington,FL,46,F,3,2:15:24,75.54,,,,8933,8124
98,9,71.40%,86.40%,36,2:30:45,F60-69,Sandy,Graham,Tampa,FL,,26,Tampa,FL,60,F,15,2:57:27,71.15,,,,9045,10647
99,10,61.90%,72.60%,7,2:35:59,M50-59,Rusty,Smith,Woodstock,GA,,10,Woodstock,GA,54,M,9,2:14:07,63.76,,,,9359,8047
100,11,68.70%,75.40%,39,2:36:42,F40-49,Melinda,Hooper,Homestead,FL,,41,Homestead,FL,43,F,25,3:33:22,68.26,,,,9402,12802
101,12,65.80%,85.40%,36,2:43:38,F60-69,Joyce,Luloff,Dade City,FL,,25,Dade City,FL,66,F,14,2:57:27,65.68,,,,9818,10647
102,13,58.40%,90.90%,26,2:45:08,M70+,Donald,Fialka,Venice,FL,,34,Venice,FL,80,M,14,3:14:31,58.24,,,,9908,11671
103,14,64.90%,82.80%,9,2:45:45,F20-29,Christine,McVeagh,Holiday,FL,,21,Holiday,FL,28,F,10,2:46:14,65.12,,,,9945,9974
104,15,63.80%,70.00%,3,2:48:39,F50-59,Patricia,Miron,Delray Beach,FL,,29,Delray Beach,FL,54,F,17,3:08:18,62.61,,,,10119,11298
105,16,63.70%,72.60%,10,2:49:03,F40-49,Christina,Parmelee,Fort Pierce,FL,,33,Fort Pierce,FL,48,F,20,3:14:16,63.01,,,,10143,11656
106,17,63.60%,63.80%,10,2:49:09,F50-59,Melissa,Ortiz,Lithia,FL,,23,Lithia,FL,55,F,12,2:56:27,68.4,,,,10149,10587
107,18,62.20%,63.10%,22,2:53:06,F40-49,Kayte,Branch,Clearwater,FL,,30,Clearwater,FL,45,F,18,3:08:35,62.03,,,,10386,11315
108,19,61.40%,100.00%,3,2:55:20,F30-39,Sarah,Dehart,Loxahatchee,FL,,22,Loxahatchee,FL,38,F,11,2:47:25,62.63,,,,10520,10045
109,20,61.10%,,1,2:56:03,F30-39,Milita,Rana,Sanford,FL,,11,Sanford,FL,37,F,2,2:14:08,71.99,,,,10563,8048
110,21,60.30%,81.50%,7,2:58:23,F50-59,Rebecca,Reitzel,Gainesville,FL,,45,Gainesville,FL,55,F,27,4:13:07,58.28,,,,10703,15187
111,22,59.60%,70.30%,14,3:00:39,F50-59,Susanne,White,Seffner,FL,,38,Seffner,FL,51,F,23,3:19:49,59.3,,,,10839,11989
112,23,50.70%,68.20%,18,3:10:21,M50-59,David,Dehart,Raleigh,NC,1.0,46,Raleigh,NC,59,M,19,4:13:07,50.2,,,,11421,15187
113,24,48.50%,74.40%,15,3:18:52,M60-69,Jim,O'Donnell,Sarasota,FL,,28,Sarasota,FL,67,M,12,3:07:02,47.12,,,,11932,11222
114,25,53.30%,100.00%,2,3:21:59,F60-69,Betty,Froyd,Lake Mary,FL,,39,Lake Mary,FL,69,F,24,3:26:32,53.45,,,,12119,12392
115,26,52.60%,53.80%,1,3:24:31,F30-39,Amanda,Coats,Williamsville,NY,,42,Williamsville,NY,39,F,26,3:35:16,52.12,,,,12271,12916
116,27,46.50%,73.30%,4,3:27:27,M70+,Richard,Kennedy,Naples,FL,,44,Naples,FL,73,M,18,3:53:36,46.05,,,,12447,14016
117,0,91.00%,100.00%,6,4:03:50,M20-29,Kacper,Wiszowaty,Park Ridge,IL,,5,Park Ridge,IL,26,M,5,2:59:35,90.99,,,,14630,10775
118,1,88.00%,91.70%,1,4:12:15,M20-29,Loyal,Carpenter,Spring Hill,TN,,30,Spring Hill,TN,26,M,25,3:38:30,81.31,,,,15135,13110
119,2,96.20%,97.40%,4,4:24:50,F30-39,Holly,Batey,Hermitage,TN,1.0,15,Hermitage,TN,31,F,3,3:16:07,95.43,,,,15890,11767
120,3,94.00%,100.00%,2,4:30:50,F20-29,Brooke,Wanser,Franklin,TN,,12,Franklin,TN,27,F,2,3:05:38,95.25,,,,16250,11138
121,4,77.80%,77.10%,13,4:45:21,M30-39,Matt,Reynolds,Nashville,TN,1.0,3,Nashville,TN,34,M,3,2:55:35,78.85,,,,17121,10535
122,5,88.60%,93.40%,8,4:47:30,F40-49,Kristen,Wilson Fisher,Franklin,TN,2.0,52,Franklin,TN,44,F,15,4:09:34,86.82,,,,17250,14974
123,6,76.00%,71.30%,2,4:51:57,M30-39,Garth,Trusler,Nashville,TN,,7,Nashville,TN,36,M,7,3:00:59,80.72,,,,17517,10859
124,7,87.20%,,1,4:51:59,F40-49,Lara,Heart,Lebanon,TN,,36,Lebanon,TN,44,F,8,3:44:49,83.94,,,,17519,13489
125,8,74.70%,83.30%,68,4:56:59,M50-59,Jason,Loyd,Brentwood,TN,2.0,2,Brentwood,TN,50,M,2,2:44:46,75.07,,,,17819,9886
126,9,74.50%,82.10%,5,4:57:47,M30-39,David,Gibson,Franklin,TN,,17,Franklin,TN,39,M,14,3:22:09,75.55,,,,17867,12129
127,10,73.50%,86.20%,2,5:02:00,M30-39,Chris,Freeman,Gallatin,TN,1.0,20,Gallatin,TN,39,M,17,3:27:15,75.22,,,,18120,12435
128,11,72.20%,66.80%,3,5:07:21,M30-39,David,Carr,Nashville,TN,1.0,55,Nashville,TN,33,M,40,4:18:00,69.96,,,,18441,15480
129,12,82.90%,,1,5:07:23,F40-49,Nicole,Rudder,Columbia,TN,,61,Columbia,TN,48,F,19,4:30:16,74.98,,,,18443,16216
130,13,71.90%,74.60%,5,5:08:43,M50-59,Robert,Dolan,Thompson Station,TN,1.0,19,Thompson Station,TN,50,M,16,3:27:13,73.02,,,,18523,12433
131,14,70.80%,76.90%,12,5:13:39,M30-39,David,Everts,Spring hill,TN,1.0,21,Spring hill,TN,36,M,18,3:27:55,71.34,,,,18819,12475
132,15,80.80%,89.20%,23,5:15:15,F40-49,Liberty,Murray,Spring Hill,TN,,42,Spring Hill,TN,45,F,10,3:55:59,80.63,,,,18915,14159
133,16,70.10%,87.20%,1,5:16:28,M30-39,Elliot,Kelley,Franklin,TN,1.0,45,Franklin,TN,30,M,34,3:56:44,69.51,,,,18988,14204
134,17,80.40%,87.10%,18,5:16:59,F40-49,Wendy,Fielder,Brentwood,TN,,8,Brentwood,TN,48,F,1,3:01:19,81.39,,,,19019,10879
135,18,67.50%,76.40%,2,5:29:00,M30-39,Zach,Patton,Franklin,TN,1.0,16,Franklin,TN,33,M,13,3:17:19,72.52,,,,19740,11839
136,19,77.30%,84.20%,3,5:29:32,F30-39,Tricia,Tienor,Valders,WI,,50,Valders,WI,33,F,14,4:03:05,76.62,,,,19772,14585
137,20,66.60%,71.70%,11,5:33:27,M50-59,John,Stock,Nashville,TN,1.0,51,Nashville,TN,50,M,37,4:04:43,66.56,,,,20007,14683
138,21,66.30%,82.60%,6,5:34:58,M40-49,Dave,Bradey,Brentwood,TN,,41,Brentwood,TN,48,M,32,3:55:37,66.68,,,,20098,14137
139,22,75.40%,83.00%,4,5:37:48,F30-39,Brittany,May,Coldwater,MS,,60,Coldwater,MS,38,F,18,4:29:06,73.8,,,,20268,16146
140,23,73.60%,93.90%,2,5:45:55,F40-49,Elizabeth,Magdich,Noblesville,IN,,46,Noblesville,IN,40,F,12,3:56:50,74.6,,,,20755,14210
141,24,63.90%,72.00%,14,5:47:14,M40-49,Michael,Fielder,Brentwood,TN,1.0,70,Brentwood,TN,47,M,49,5:06:48,63.19,,,,20834,18408
142,25,63.80%,84.50%,77,5:48:06,M60-69,Dale,Vanhooser,Spring Hill,TN,5.0,40,Spring Hill,TN,63,M,31,3:51:03,63.83,,,,20886,13863
143,26,63.50%,79.60%,9,5:49:15,M30-39,Logan,Luker,Murfreesboro,TN,1.0,18,Murfreesboro,TN,32,M,15,3:24:56,65.14,,,,20955,12296
144,27,61.70%,64.00%,6,5:59:36,M40-49,Jason,Brock,Arlington,TN,,47,Arlington,TN,42,M,35,4:01:46,62.53,,,,21576,14506
145,28,70.50%,70.50%,3,6:01:10,F30-39,Lindsey,Johnson,Nashville,TN,,34,Nashville,TN,32,F,7,3:42:54,73.23,,,,21670,13374
146,29,60.80%,81.10%,45,6:04:52,M50-59,Kerry,Risley,Nashville,TN,5.0,57,Nashville,TN,59,M,41,4:18:42,60.87,,,,21892,15522
147,30,60.70%,61.60%,3,6:05:32,M50-59,Craig,Dore,Nashville,TN,,58,Nashville,TN,51,M,42,4:26:28,60.71,,,,21932,15988
148,31,60.10%,71.90%,6,6:09:14,M40-49,Charles,Jolley,Mount Juliet,TN,,68,Mount Juliet,TN,47,M,47,4:55:07,59.3,,,,22154,17707
149,32,59.60%,59.60%,1,6:12:35,M40-49,Brian,Bales,Nashville,TN,,28,Nashville,TN,40,M,23,3:37:48,67.23,,,,22355,13068
150,33,59.20%,,2,6:15:10,M50-59,Glenn,Wilhoite,Hendersonville,TN,,76,Hendersonville,TN,50,M,51,5:44:35,55.21,,,,22510,20675
151,34,67.70%,,1,6:15:59,F30-39,Mary Kate,Pollreis,Nolensville,TN,,71,Nolensville,TN,30,F,22,5:21:00,62.12,,,,22559,19260
152,35,58.70%,78.90%,6,6:18:07,M50-59,James,Ruane,Blowing Rock,NC,1.0,73,Blowing Rock,NC,54,M,50,5:22:40,57.52,,,,22687,19360
153,36,58.20%,70.90%,10,6:21:10,M50-59,Craig,Brenner,Spring Hill,TN,1.0,64,Spring Hill,TN,54,M,44,4:45:31,58.12,,,,22870,17131
154,37,58.00%,62.40%,20,6:22:40,M40-49,Joel,McCauley,Murfreesboro,TN,,53,Murfreesboro,TN,47,M,38,4:12:10,58.31,,,,22960,15130
155,38,57.10%,61.40%,9,6:28:26,M40-49,Jason,Bostelman,Nolensville,TN,3.0,31,Nolensville,TN,46,M,26,3:38:47,58.87,,,,23306,13127
156,39,65.50%,79.10%,6,6:28:47,F30-39,Haley,Peel,Nashville,TN,1.0,39,Nashville,TN,37,F,9,3:50:53,67.37,,,,23327,13853
157,40,65.40%,79.10%,11,6:29:27,F20-29,Emily,Verschoor-Kirss,Nashville,TN,1.0,56,Nashville,TN,28,F,16,4:18:27,65.8,,,,23367,15507
158,41,65.20%,71.40%,2,6:30:38,F50-59,Cressa,Glenn,Smyrna,TN,,66,Smyrna,TN,51,F,21,4:47:10,64.51,,,,23438,17230
159,42,63.10%,75.20%,4,6:43:46,F30-39,Jodi,Gibbs,La Vergne,TN,,72,La Vergne,TN,33,F,23,5:21:00,61.76,,,,24226,19260
160,43,53.90%,,2,6:52:01,M40-49,Justin,Allen,Kingston Spgs,TN,,6,Kingston Spgs,TN,42,M,6,3:00:54,65.96,,,,24721,10854
161,44,48.00%,51.90%,2,7:42:08,M40-49,Jeffrey,Baker,Murfreesboro,TN,1.0,67,Murfreesboro,TN,41,M,46,4:47:26,50.93,,,,27728,17246
162,0,87.20%,91.30%,28,2:38:40,M30-39,Zach,Bailor,Wichita,KS,,1,Wichita,KS,33,M,1,1:56:21,87.62,,,,9520,6981
163,1,80.50%,90.20%,5,2:51:47,M50-59,Brian,Traughber,Wichita,KS,,3,Wichita,KS,50,M,3,2:10:20,81.98,,,,10307,7820
164,2,82.80%,96.30%,5,2:53:36,F50-59,Julie,Campbell,Wichita,KS,,5,Wichita,KS,54,F,1,2:20:21,85.67,,,,10416,8421
